scenario,true_label,rep,n,pool,pretest,criterion,label,npars,tau,indep_pvalue,lambda_u,lambda_u_true,oos_loglik_gap,fit_seconds,extra_seconds,mc_seconds,q_0.001,relerr_0.001,q_0.0001,relerr_0.0001,q_1e-05,relerr_1e-05,q_1e-06,relerr_1e-06
indep,indep,3,10000,vc15,0,loglik,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,vc15,1,loglik,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,aic,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,vc15,1,aic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,bic,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,vc15,1,bic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,mbic,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,vc15,1,mbic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,cv,clayton270,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00010066647307817581,3.7951423588674515,15.11792803206481,0.4840914069209248,23.412499602060823,-0.0006194858267637438,42.566216141334536,-0.0002746040307946007,72.46768693360912,-0.0001436107574029899,117.27802724749333,-9.356900246104694e-05
indep,indep,3,10000,vc15,1,cv,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,tcf,clayton270,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00010066647307817581,3.7951423588674515,15.11792803206481,0.4840914069209248,23.412499602060823,-0.0006194858267637438,42.566216141334536,-0.0002746040307946007,72.46768693360912,-0.0001436107574029899,117.27802724749333,-9.356900246104694e-05
indep,indep,3,10000,vc15,1,tcf,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,vc15,0,hybrid,clayton270,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00010066647307817581,3.7951423588674515,15.11792803206481,0.4840914069209248,23.412499602060823,-0.0006194858267637438,42.566216141334536,-0.0002746040307946007,72.46768693360912,-0.0001436107574029899,117.27802724749333,-9.356900246104694e-05
indep,indep,3,10000,vc15,1,hybrid,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,loglik,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,par,1,loglik,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,aic,joe90,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00011332507482077286,3.7951423588674515,15.11792803206481,0.6891315889079124,23.417181118862704,-0.00041965168909807726,42.56997430515407,-0.00018633844946780442,72.47115647834231,-9.574050493554864e-05,117.28131963196452,-6.549830172253301e-05
indep,indep,3,10000,par,1,aic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,bic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,1,bic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,mbic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,1,mbic,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,cv,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,1,cv,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,tcf,clayton270,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00010066647307817581,3.7951423588674515,15.11792803206481,0.4840914069209248,23.412499602060823,-0.0006194858267637438,42.566216141334536,-0.0002746040307946007,72.46768693360912,-0.0001436107574029899,117.27802724749333,-9.356900246104694e-05
indep,indep,3,10000,par,1,tcf,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,par,0,hybrid,clayton270,1.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.00010066647307817581,3.7951423588674515,15.11792803206481,0.4840914069209248,23.412499602060823,-0.0006194858267637438,42.566216141334536,-0.0002746040307946007,72.46768693360912,-0.0001436107574029899,117.27802724749333,-9.356900246104694e-05
indep,indep,3,10000,par,1,hybrid,indep,0.0,-0.0003511151115111511,0.9580043627169161,0.0,0.0,0.0,3.7951423588674515,15.11792803206481,0.20653112698346376,23.42701230414666,0.0,42.57790820655086,0.0,72.47809556780874,0.0,117.28900186239724,0.0
indep,indep,3,10000,all,0,loglik,tll,131.8645286563827,-0.0003511151115111511,0.9580043627169161,1.316957654040752e-07,0.0,0.0023679743048571713,3.7951423588674515,15.11792803206481,1.7320219711400568,23.359598462199532,-0.002877611582386752,42.524876339319626,-0.0012455254253912473,72.43229757733037,-0.0006318873325736885,117.24729832576244,-0.00035556220935129
